2025-01-08 14:43:29,774 - Active threads: 98, Memory usage: 0.54 GB, CPU: 12
2025-01-08 14:44:29,797 - Active threads: 99, Memory usage: 0.55 GB, CPU: 12
2025-01-08 14:45:29,814 - Active threads: 140, Memory usage: 0.62 GB, CPU: 12
2025-01-08 14:46:29,815 - Active threads: 147, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:47:29,816 - Active threads: 145, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:48:29,825 - Active threads: 133, Memory usage: 0.57 GB, CPU: 12
2025-01-08 14:49:29,830 - Active threads: 150, Memory usage: 0.56 GB, CPU: 12
2025-01-08 14:50:29,831 - Active threads: 148, Memory usage: 0.56 GB, CPU: 12
2025-01-08 14:51:29,833 - Active threads: 233, Memory usage: 0.66 GB, CPU: 12
2025-01-08 14:52:29,834 - Active threads: 143, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:53:29,837 - Active threads: 122, Memory usage: 0.60 GB, CPU: 12
2025-01-08 14:54:29,838 - Active threads: 143, Memory usage: 0.67 GB, CPU: 12
2025-01-08 14:55:29,843 - Active threads: 144, Memory usage: 0.70 GB, CPU: 12
2025-01-08 14:56:29,844 - Active threads: 96, Memory usage: 0.59 GB, CPU: 12
2025-01-08 14:57:29,859 - Active threads: 98, Memory usage: 0.56 GB, CPU: 12
2025-01-08 14:58:29,860 - Active threads: 141, Memory usage: 0.60 GB, CPU: 12
2025-01-08 14:59:29,861 - Active threads: 98, Memory usage: 0.57 GB, CPU: 12
2025-01-08 15:00:29,863 - Active threads: 143, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:01:29,864 - Active threads: 148, Memory usage: 0.56 GB, CPU: 12
2025-01-08 15:02:30,197 - Active threads: 205, Memory usage: 0.62 GB, CPU: 12
2025-01-08 15:03:30,198 - Active threads: 139, Memory usage: 0.66 GB, CPU: 12
2025-01-08 15:04:30,200 - Active threads: 143, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:05:30,204 - Active threads: 142, Memory usage: 0.67 GB, CPU: 12
2025-01-08 15:06:30,206 - Active threads: 141, Memory usage: 0.64 GB, CPU: 12
2025-01-08 15:07:30,222 - Active threads: 129, Memory usage: 0.60 GB, CPU: 12
2025-01-08 15:08:30,233 - Active threads: 139, Memory usage: 0.62 GB, CPU: 12
2025-01-08 15:09:30,237 - Active threads: 145, Memory usage: 0.68 GB, CPU: 12
2025-01-08 15:10:30,239 - Active threads: 98, Memory usage: 0.59 GB, CPU: 12
2025-01-08 15:11:30,242 - Active threads: 129, Memory usage: 0.60 GB, CPU: 12
2025-01-08 15:12:30,252 - Active threads: 140, Memory usage: 0.63 GB, CPU: 12
2025-01-08 15:13:30,257 - Active threads: 115, Memory usage: 0.59 GB, CPU: 12
2025-01-08 15:14:30,274 - Active threads: 164, Memory usage: 0.60 GB, CPU: 12
2025-01-08 15:15:30,593 - Active threads: 134, Memory usage: 0.68 GB, CPU: 12
2025-01-08 15:16:30,607 - Active threads: 139, Memory usage: 0.61 GB, CPU: 12
2025-01-08 15:17:30,609 - Active threads: 149, Memory usage: 0.55 GB, CPU: 12
2025-01-08 15:18:30,610 - Active threads: 147, Memory usage: 0.68 GB, CPU: 12
2025-01-08 15:19:30,611 - Active threads: 146, Memory usage: 0.58 GB, CPU: 12
2025-01-08 15:20:30,613 - Active threads: 145, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:21:30,622 - Active threads: 137, Memory usage: 0.61 GB, CPU: 12
2025-01-08 15:22:30,623 - Active threads: 145, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:23:30,626 - Active threads: 146, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:24:30,631 - Active threads: 141, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:25:30,633 - Active threads: 185, Memory usage: 0.74 GB, CPU: 12
2025-01-08 15:26:30,634 - Active threads: 139, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:27:30,639 - Active threads: 141, Memory usage: 0.67 GB, CPU: 12
2025-01-08 15:28:30,640 - Active threads: 142, Memory usage: 0.67 GB, CPU: 12
2025-01-08 15:29:30,967 - Active threads: 134, Memory usage: 0.67 GB, CPU: 12
2025-01-08 15:30:30,972 - Active threads: 97, Memory usage: 0.62 GB, CPU: 12
2025-01-08 15:31:30,973 - Active threads: 165, Memory usage: 0.63 GB, CPU: 12
2025-01-08 15:32:30,975 - Active threads: 166, Memory usage: 0.63 GB, CPU: 12
2025-01-08 15:33:30,978 - Active threads: 132, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:34:30,979 - Active threads: 133, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:35:30,980 - Active threads: 148, Memory usage: 0.69 GB, CPU: 12
2025-01-08 15:36:30,981 - Active threads: 134, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:37:30,982 - Active threads: 263, Memory usage: 0.72 GB, CPU: 12
2025-01-08 15:38:30,983 - Active threads: 97, Memory usage: 0.62 GB, CPU: 12
2025-01-08 15:39:30,984 - Active threads: 141, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:40:30,989 - Active threads: 137, Memory usage: 0.68 GB, CPU: 12
2025-01-08 15:41:30,991 - Active threads: 134, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:42:30,993 - Active threads: 150, Memory usage: 0.64 GB, CPU: 12
2025-01-08 15:43:30,995 - Active threads: 148, Memory usage: 0.73 GB, CPU: 12
2025-01-08 15:44:30,996 - Active threads: 145, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:45:30,997 - Active threads: 203, Memory usage: 0.73 GB, CPU: 12
2025-01-08 15:46:30,998 - Active threads: 136, Memory usage: 0.74 GB, CPU: 12
2025-01-08 15:47:31,000 - Active threads: 139, Memory usage: 0.72 GB, CPU: 12
2025-01-08 15:48:31,004 - Active threads: 138, Memory usage: 0.69 GB, CPU: 12
2025-01-08 15:49:31,006 - Active threads: 140, Memory usage: 0.75 GB, CPU: 12
2025-01-08 15:50:31,010 - Active threads: 139, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:51:31,013 - Active threads: 138, Memory usage: 0.73 GB, CPU: 12
2025-01-08 15:52:31,014 - Active threads: 143, Memory usage: 0.69 GB, CPU: 12
2025-01-08 15:53:31,015 - Active threads: 192, Memory usage: 0.71 GB, CPU: 12
2025-01-08 15:54:31,018 - Active threads: 98, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:55:31,021 - Active threads: 150, Memory usage: 0.67 GB, CPU: 12
2025-01-08 15:56:31,032 - Active threads: 100, Memory usage: 0.65 GB, CPU: 12
2025-01-08 15:57:31,032 - Active threads: 149, Memory usage: 0.64 GB, CPU: 12
2025-01-08 15:58:31,034 - Active threads: 141, Memory usage: 0.70 GB, CPU: 12
2025-01-08 15:59:31,034 - Active threads: 140, Memory usage: 0.66 GB, CPU: 12
2025-01-08 16:00:31,037 - Active threads: 134, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:01:31,037 - Active threads: 100, Memory usage: 0.66 GB, CPU: 12
2025-01-08 16:02:31,038 - Active threads: 144, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:03:31,040 - Active threads: 111, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:04:31,041 - Active threads: 145, Memory usage: 0.69 GB, CPU: 12
2025-01-08 16:05:31,044 - Active threads: 144, Memory usage: 0.70 GB, CPU: 12
2025-01-08 16:06:31,047 - Active threads: 135, Memory usage: 0.73 GB, CPU: 12
2025-01-08 16:07:31,048 - Active threads: 146, Memory usage: 0.69 GB, CPU: 12
2025-01-08 16:08:31,050 - Active threads: 101, Memory usage: 0.69 GB, CPU: 12
